"name","group","group_follows","group_replies","group_votes"
"6007","2,1,2",2,1,2
"83590","2,3,3",2,3,3
"542926","2,1,3",2,1,3
"567071","2,3,1",2,3,1
"28707","3,3,2",3,3,2
"37393","3,1,3",3,1,3
"139390","3,3,3",3,3,3
"157589","3,1,2",3,1,2
"199481","3,3,3",3,3,3
"201641","3,3,2",3,3,2
"248918","3,3,3",3,3,3
"501220","3,3,3",3,3,3
"501381","3,3,3",3,3,3
"502615","3,3,3",3,3,3
"509128","3,1,2",3,1,2
"525415","3,3,3",3,3,3
"534390","3,3,3",3,3,3
"541559","3,1,2",3,1,2
"549783","3,1,3",3,1,3
"550600","3,1,3",3,1,3
"560705","3,3,3",3,3,3
"566359","3,1,2",3,1,2
"605416","3,3,3",3,3,3
"503757","2,3,1",2,3,1
"238954","3,3,3",3,3,3
"50497","3,2,3",3,2,3
