"name","group","group_replies","group_votes","group_follows"
"38","3_2_2",3,2,2
"4142","3_4_2",3,4,2
"6334","3_1_2",3,1,2
"6997","3_4_2",3,4,2
"8071","1_3_1",1,3,1
"8194","3_3_2",3,3,2
"12298","3_1_2",3,1,2
"19321","3_3_2",3,3,2
"20650","3_1_2",3,1,2
"21871","3_4_2",3,4,2
"24837","1_2_2",1,2,2
"27632","3_3_2",3,3,2
"28690","1_2_1",1,2,1
"29431","3_2_2",3,2,2
"30177","3_3_2",3,3,2
"30207","1_2_2",1,2,2
"30208","3_2_2",3,2,2
"31526","3_3_2",3,3,2
"33488","3_1_2",3,1,2
"36141","3_1_2",3,1,2
"38190","3_1_2",3,1,2
"40016","1_2_1",1,2,1
"41535","3_3_2",3,3,2
"43592","3_3_2",3,3,2
"43973","3_1_2",3,1,2
"49451","3_4_2",3,4,2
"50349","3_2_2",3,2,2
"50406","3_1_2",3,1,2
"50882","3_1_2",3,1,2
"52318","3_1_2",3,1,2
"57623","3_4_2",3,4,2
"60516","3_2_2",3,2,2
"62492","3_2_2",3,2,2
"63819","3_2_2",3,2,2
"69431","3_1_2",3,1,2
"71180","3_1_2",3,1,2
"72071","3_4_2",3,4,2
"72771","3_4_2",3,4,2
"72846","3_4_2",3,4,2
"73833","3_4_2",3,4,2
"74021","3_1_2",3,1,2
"76568","3_2_2",3,2,2
"79192","1_3_2",1,3,2
"79712","3_1_2",3,1,2
"85803","3_1_2",3,1,2
"85923","1_2_2",1,2,2
"86147","1_3_1",1,3,1
"87683","3_1_1",3,1,1
"87870","1_2_2",1,2,2
"88080","3_3_1",3,3,1
"94767","1_3_2",1,3,2
"95600","3_2_1",3,2,1
"97369","3_4_2",3,4,2
"103513","3_1_2",3,1,2
"105264","3_1_2",3,1,2
"106008","3_2_2",3,2,2
"112600","3_1_2",3,1,2
"113321","3_3_2",3,3,2
"116284","3_3_2",3,3,2
"116515","3_1_2",3,1,2
"116638","1_4_2",1,4,2
"120696","3_2_1",3,2,1
"121554","3_1_2",3,1,2
"121872","3_1_2",3,1,2
"124892","3_1_2",3,1,2
"128148","3_1_2",3,1,2
"130907","3_4_2",3,4,2
"133425","3_2_2",3,2,2
"134492","3_2_2",3,2,2
"135187","3_3_2",3,3,2
"137221","3_4_2",3,4,2
"142788","3_1_2",3,1,2
"142828","3_1_2",3,1,2
"143837","3_1_2",3,1,2
"143847","1_2_2",1,2,2
"144385","3_1_2",3,1,2
"148244","1_2_2",1,2,2
"148419","3_3_1",3,3,1
"149038","3_1_2",3,1,2
"160183","3_1_2",3,1,2
"167221","3_3_2",3,3,2
"167257","3_1_2",3,1,2
"169070","3_1_2",3,1,2
"169230","1_3_2",1,3,2
"170264","3_3_2",3,3,2
"174760","3_2_2",3,2,2
"175622","3_2_2",3,2,2
"175956","3_2_2",3,2,2
"178264","3_4_2",3,4,2
"180741","3_1_2",3,1,2
"181971","1_3_2",1,3,2
"182511","3_3_2",3,3,2
"184421","1_2_2",1,2,2
"185829","3_2_1",3,2,1
"187729","1_2_2",1,2,2
"187958","3_4_1",3,4,1
"190857","1_2_2",1,2,2
"191985","3_4_2",3,4,2
"194601","3_1_2",3,1,2
"195865","3_3_2",3,3,2
"195869","3_1_2",3,1,2
"196645","3_3_2",3,3,2
"198726","3_1_2",3,1,2
"201289","3_4_2",3,4,2
"201673","3_2_2",3,2,2
"203362","3_2_2",3,2,2
"203814","3_1_2",3,1,2
"205911","3_4_2",3,4,2
"207484","3_2_2",3,2,2
"209265","3_3_2",3,3,2
"211168","3_2_2",3,2,2
"211584","3_1_2",3,1,2
"217742","3_3_1",3,3,1
"218450","3_4_2",3,4,2
"219439","3_1_2",3,1,2
"219523","3_1_2",3,1,2
"220769","3_1_2",3,1,2
"223839","3_4_1",3,4,1
"224713","3_4_2",3,4,2
"227069","1_3_2",1,3,2
"228838","3_4_2",3,4,2
"232248","1_1_2",1,1,2
"232265","3_1_1",3,1,1
"232992","3_1_2",3,1,2
"235323","3_3_2",3,3,2
"240274","1_4_2",1,4,2
"240276","3_3_2",3,3,2
"242926","3_4_2",3,4,2
"244270","3_2_2",3,2,2
"244445","1_3_2",1,3,2
"248747","3_4_2",3,4,2
"254880","3_4_2",3,4,2
"276497","2_2_2",2,2,2
"290266","3_2_2",3,2,2
"307034","3_4_2",3,4,2
"328852","3_4_1",3,4,1
"337556","1_1_2",1,1,2
"499261","3_1_2",3,1,2
"499466","3_1_2",3,1,2
"499516","3_1_2",3,1,2
"499562","3_4_2",3,4,2
"499597","1_3_2",1,3,2
"499773","3_1_2",3,1,2
"499827","3_3_2",3,3,2
"500834","3_1_2",3,1,2
"501812","3_4_2",3,4,2
"502007","3_4_2",3,4,2
"503535","3_2_2",3,2,2
"503550","1_2_2",1,2,2
"504141","1_3_2",1,3,2
"504154","3_3_2",3,3,2
"504424","3_3_2",3,3,2
"504817","3_3_2",3,3,2
"504898","3_1_2",3,1,2
"505692","1_2_2",1,2,2
"505817","1_1_2",1,1,2
"506835","3_1_2",3,1,2
"507789","3_1_2",3,1,2
"508134","1_2_2",1,2,2
"508334","3_1_2",3,1,2
"508401","3_4_2",3,4,2
"508663","1_4_2",1,4,2
"511293","3_1_1",3,1,1
"512788","3_1_2",3,1,2
"512842","3_2_2",3,2,2
"513557","3_3_2",3,3,2
"514546","3_4_2",3,4,2
"514959","3_3_2",3,3,2
"515050","3_1_2",3,1,2
"515573","3_4_2",3,4,2
"519278","3_2_2",3,2,2
"519291","3_4_2",3,4,2
"519836","3_1_2",3,1,2
"521413","3_2_2",3,2,2
"521490","3_3_2",3,3,2
"521554","3_1_2",3,1,2
"522701","3_2_2",3,2,2
"523691","3_1_2",3,1,2
"526508","3_1_2",3,1,2
"526540","3_1_2",3,1,2
"526829","1_2_2",1,2,2
"528779","3_3_2",3,3,2
"529478","3_1_2",3,1,2
"530062","3_1_1",3,1,1
"530195","3_2_2",3,2,2
"530273","3_3_2",3,3,2
"531290","3_3_2",3,3,2
"531810","3_4_2",3,4,2
"532900","3_3_2",3,3,2
"534248","1_3_2",1,3,2
"534502","3_1_2",3,1,2
"534931","3_1_2",3,1,2
